PLATAFORMA;PRODUTO
DRCC;Oracle Container Engine for Kubernetes- Enhanced Cluster
DRCC;Oracle Cloud Infrastructure-Compute-Standard- E5-OCPU
DRCC;Oracle Cloud Infrastructure-Compute-Standard- E5-Memory
DRCC;MySQL Database-ECPU
DRCC;Oracle Database Cloud Service-Enterprise Edition-General Purpose
DRCC;Oracle Database Cloud Service-Enterprise Edition Extreme Performance-General Purpose
DRCC;Oracle Database Cloud Service-Enterprise Edition High Performance-General Purpose
DRCC;Oracle Database Cloud Service-Standard Edition- General Purpose
DRCC;Oracle Database Backup Service-Outbound Data Transfer
DRCC;Oracle Database Backup Service-GET and all other Requests
DRCC;Oracle Database Backup Service-PUT, COPY, POST or LIST Requests
DRCC;Oracle Database Backup Service-Storage Capacity
DRCC;Oracle Database Cloud Service-All Editions-BYOL
DRCC;Exadata Database OCPU-Dedicated Infrastructure
DRCC;Exadata Database OCPU-Dedicated Infrastructure-BYOL
DRCC;Oracle NoSQL Database Cloud Service-Write
DRCC;Oracle NoSQL Database Cloud Service-Read
DRCC;Oracle NoSQL Database Cloud Service-Storage
DRCC;Oracle Database Backup Cloud-Object Storage
DRCC;Oracle Autonomous Transaction Processing- Exadata Storage
DRCC;Oracle Base Database Service-Standard
DRCC;Oracle Base Database Service-Enterprise
DRCC;Oracle Base Database Service-High Performance
DRCC;Oracle Base Database Service-Extreme Performance
DRCC;Oracle Base Database Service-BYOL
DRCC;Oracle Cloud SQL-Compute Capacity
DRCC;Oracle Big Data Service-Compute-Standard
DRCC;Oracle Cloud Infrastructure-Data Safe for Database Cloud Service-Audit Record Collection Over 1 Million Records
DRCC;Oracle Cloud Infrastructure-Data Safe for Database Cloud Service
DRCC;MySQL HeatWave-Standard
DRCC;MySQL Database for HeatWave-Standard
DRCC;Oracle Autonomous Transaction Processing- Dedicated
DRCC;Oracle Autonomous Data Warehouse-Dedicated
DRCC;Oracle Autonomous Transaction Processing- Dedicated-BYOL
DRCC;Oracle Autonomous Data Warehouse-Dedicated- BYOL
DRCC;Oracle Autonomous JSON Database
DRCC;MySQL Database-Storage
DRCC;MySQL Database-Backup Storage
DRCC;Oracle Cloud Infrastructure-Data Safe for On- Premises Databases & Databases on Compute
DRCC;Oracle APEX Application Development
DRCC;Oracle Cloud Infrastructure Database Migration
DRCC;Exadata Cloud Infrastructure-Quarter Rack-X9M
DRCC;Exadata Cloud Infrastructure-Database Server- X9M
DRCC;Exadata Cloud Infrastructure-Storage Server-X9M
DRCC;MySQL Database for HeatWave-Bare Metal Standard
DRCC;Oracle Cloud Infrastructure Search with OpenSearch HA
DRCC;Oracle NoSQL Database Cloud-Write-Auto
DRCC;Oracle NoSQL Database Cloud-Read-Auto
DRCC;Oracle NoSQL Database Cloud-Hosted Environment
